sku,nombre,descripcion,precio,costo,categoria,unidad,impuesto_pct,codigo_barras,controla_stock,stock_actual,stock_minimo
PROD001,Filete Empanizado,"Filete de pescado cubierto con empanizado crujiente y dorado al momento, servido caliente acompañado de papas ensalada y arroz",120,84,Filetes,,16,7500000000001,false,0,0
PROD002,Filete Gratinado,"Filete de pescado cubierto con queso gratinado que se derrite sobre el pescado, creando un sabor cremoso acompañado de papas ensalada y arroz",145,101.5,Filetes,,16,7500000000002,false,0,0
PROD003,Filete al Mojo de Ajo,Filete de pescado salteado en mantequilla con ajo dorado soya y cilantro acompañado de papas ensalada y arroz,145,101.5,Filetes,,16,7500000000003,false,0,0
PROD004,Filete a la Plancha,Filete fresco cocinado a la plancha con especias y un toque de limón que resalta su sabor natural acompañado de papa ensalada y arroz,135,94.5,Filetes,,16,7500000000004,false,0,0
PROD005,Filete Empanizado Mixto,Filete empanizado  y 2 a 3 camarones empanizados disfrutar una deliciosa combinación de mariscos acompañada de papas ensalada y arroz,145,101.5,Filetes,,16,7500000000005,false,0,0
PROD006,Camarón Empanizado,"Camarones cubiertos con empanizado dorado y crujiente, fritos al momento para mantener su jugosidad acompañado de papas ensalada y arroz",145,101.5,Camarones,,16,7500000000006,false,0,0
PROD007,Camarón Gratinado,Camarones preparados con queso gratinado que aporta un sabor cremoso y delicioso acompañado de papas ensalada y arroz,155,108.5,Camarones,,16,7500000000007,false,0,0
PROD008,Camarón al Mojo de Ajo,camarones preparados salteado en mantequilla con ajo dorado soya y cilantro acompañado de papas ensalada y arroz,145,101.5,Camarones,,16,7500000000008,false,0,0
PROD009,Camarón al Coco,Camarones empanizados con coco rallado que les da un toque crujiente y ligeramente dulce acompañadocon salsa de mango papas arroz y ensalada,145,101.5,Camarones,,16,7500000000009,false,0,0
PROD010,Caldo de Camarón,"Caldo caliente preparado con camarones frescos, verduras y especias que brindan un sabor intenso y reconfortante.",155,108.5,Caldos,1 Litro,16,7500000000010,false,0,0
PROD011,Caldo de Camarón,"Caldo caliente preparado con camarones frescos, verduras y especias que brindan un sabor intenso y reconfortante.",95,66.5,Caldos,1/2 Litro,16,7500000000011,false,0,0
PROD012,Caldo de Pescado,caldo caliente con pescado fresco y verduras cocinadas en un caldo lleno de sabor.,145,101.5,Caldos,1 Litro,16,7500000000012,false,0,0
PROD013,Caldo de Pescado,caldo caliente con pescado fresco y verduras cocinadas en un caldo lleno de sabor.,85,59.5,Caldos,1/2 Litro,16,7500000000013,false,0,0
PROD014,Caldo Mixto,Caldo tradicional con mezcla de mariscos como camarón y pescado acompañado de verduras.,155,108.5,Caldos,1 Litro,16,7500000000014,false,0,0
